stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
GRA7116w,GRA7116w,GRACELY DR 7116,GRACELY DR & WILKENS SHORT RD,39.121664,-84.700007,,,,,0
RIV356e,RIV356e,RIVER RD 356,THREE RIVERS PKWY,39.138345,-84.71429,,,,,0
RIV6095x,RIV6095x,RIVER RD 6095,RIVER RD & DART ST,39.102174,-84.680247,,,,,0
RIV6013e,RIV6013e,RIVER RD 6013,,39.101188,-84.677945,,,,,0
RIV5229e,RIV5229e,RIVER RD 5229,RIVER RD & DART ST,39.09216,-84.647575,,,,,0
RIV5125e,RIV5125e,RIVER RD 5125,RIVER RD & STILLE DR,39.089863,-84.644884,,,,,0
RIV5009e,RIV5009e,RIVER RD 5009,RIVER RD & STILLE DR,39.086416,-84.641094,,,,,0
RIVFENe,RIVFENe,RIVER RD & FENIMORE ST,RIVER RD & STILLE DR,39.078584,-84.629218,,,,,0
RIVANSe,RIVANSe,RIVER RD & ANSONIA AVE,,39.098261,-84.556156,,,,,0
RIV4472w,RIV4472w,RIVER RD 4472,,39.077998,-84.627104,,,,,0
RIV5510w,RIV5510w,RIVER RD 5510,,39.097903,-84.659693,,,,,0
RIV5718w,RIV5718w,RIVER RD 5718,RIVER RD & MASONIC ALY,39.099069,-84.666162,,,,,0
RIV4837e,RIV4837e,RIVER RD 4837,RIVER RD & STILLE DR,39.082943,-84.637187,,,,,0
RIV4583e,RIV4583e,RIVER RD 4583,RIVER RD & STILLE DR,39.079233,-84.630865,,,,,0
RIV4855e,RIV4855e,RIVER RD 4855,RIVER RD & STILLE DR,39.084243,-84.638707,,,,,0
RIV4203e,RIV4203e,RIVER RD 4203,RIVER RD & STILLE DR,39.076665,-84.617709,,,,,0
RIV4133e,RIV4133e,RIVER RD 4133,RIVER RD & ANDERSON FERRY RD,39.076519,-84.613812,,,,,0
RIV3163e,RIV3163e,RIVER RD 3163,RIVER RD & BARBOR ST,39.086787,-84.573185,,,,,0
6THPLU,6THPLU,6th & Plum,6TH ST & PLUM ST,39.101906,-84.51808,,,,,0
8THGRAo,8THGRAo,8TH ST & GRAND AVE,W 8TH ST & GRAND AVE,39.105769,-84.560954,,,,,0
8THKENo,8THKENo,8TH ST & KENNEDY WAY,W 8TH ST & SUNSET AVE,39.107381,-84.587031,,,,,0
PEDFEHo,PEDFEHo,PEDRETTI AVE & FEHR RD,PEDRETTI AVE & SUNSET AVE,39.100576,-84.599271,,,,,0
PEDDOMo,PEDDOMo,PEDRETTI AVE & DOMINIC DR,PEDRETTI AVE & DELHI RD,39.093294,-84.599955,,,,,0
MTAROBo,MTAROBo,MT. ALVERNO RD & ROBBEN LN,MT ALVERNO RD & BOB DR,39.089981,-84.602316,,,,,0
MTAROBi,MTAROBi,MT ALVERNO RD & ROBBEN LN,,39.089874,-84.602013,,,,,0
DEL5314o,DEL5314o,DELHI RD 5314,DELHI RD & MARBILL LN,39.093705,-84.619001,,,,,0
DEL5504o,DEL5504o,DELHI RD 5504,DELHI RD & APPLECREEK CT,39.094218,-84.627964,,,,,0
DELWOOo,DELWOOo,DELHI RD & WOODLAND RIDGE DR,DELHI RD & APPLECREEK CT,39.095433,-84.632472,,,,,0
DELMATo,DELMATo,DELHI RD & MATTINGLY BLVD,,39.096625,-84.640259,,,,,0
BEN6004o,BEN6004o,BENDER RD 6004,BENDER RD & MATTINGLY BLVD,39.1019,-84.649599,,,,,0
BEN5999i,BEN5999i,BENDER RD 5999,BENDER RD & MATTINGLY BLVD,39.101722,-84.64961,,,,,0
DELMATi,DELMATi,DELHI RD & MATTINGLY BLVD,,39.096421,-84.63978,,,,,0
DELNEEi,DELNEEi,DELHI RD & NEEB RD,,39.096237,-84.637667,,,,,0
DEL5673i,DEL5673i,DELHI RD 5673,DELHI RD & NEEB RD,39.096061,-84.636103,,,,,0
